time_hours,temperature_k,pressure_pa,ice_mass_kg,solar_flux_wm2,orbital_angle_rad
2533.0,224.07311389818926,610.0,0.0,661.717482730783,0.9652661561794516
2534.0,224.07085542976523,610.0,0.0,661.6807041743103,0.9656472324353456
2535.0,224.07077027509376,610.0,0.0,661.6439169442829,0.9660283086912396
2536.0,224.07267875247084,610.0,0.0,661.6071210468504,0.9664093849471336
2537.0,224.0762725464793,610.0,0.0,661.5703164881648,0.9667904612030276
2538.0,224.0811345416877,610.0,0.0,661.5335032743794,0.9671715374589216
2539.0,224.0867656664488,610.0,0.0,661.4966814116472,0.9675526137148156
2540.0,224.09261703753845,610.0,0.0,661.459850906123,0.9679336899707096
2541.0,224.09812535141361,610.0,0.0,661.4230117639624,0.9683147662266036
2542.0,224.1027492500623,610.0,0.0,661.3861639913223,0.9686958424824976
2543.0,224.1060043149309,610.0,0.0,661.3493075943603,0.9690769187383916
2544.0,224.107494419018,610.0,0.0,661.3124425792354,0.9694579949942856
2545.0,224.10693739305066,610.0,0.0,661.2755689521076,0.9698390712501797
2546.0,224.1041833245416,610.0,0.0,661.2386867191368,0.9702201475060737
2547.0,224.09922428614868,610.0,0.0,661.2017958864855,0.9706012237619677
2548.0,224.09219485082446,610.0,0.0,661.1648964603161,0.9709823000178617
2549.0,224.08336335758608,610.0,0.0,661.1279884467932,0.9713633762737557
2550.0,224.07311450129305,610.0,0.0,661.0910718520804,0.9717444525296497
2551.0,224.0619243900793,610.0,0.0,661.0541466823446,0.9721255287855437
2552.0,224.05032970565458,610.0,0.0,661.0172129437523,0.9725066050414377
2553.0,224.03889298148096,610.0,0.0,660.9802706424712,0.9728876812973317
2554.0,224.0281662575572,610.0,0.0,660.9433197846703,0.9732687575532257
2555.0,224.01865546421493,610.0,0.0,660.9063603765193,0.9736498338091197
2556.0,224.01078782770844,610.0,0.0,660.869392424189,0.9740309100650137
2557.0,224.00488438447042,610.0,0.0,660.8324159338517,0.9744119863209078
2558.0,224.00113935470617,610.0,0.0,660.7954309116797,0.9747930625768018
2559.0,223.99960768278535,610.0,0.0,660.7584373638475,0.9751741388326958
2560.0,224.00020153032384,610.0,0.0,660.7214352965293,0.9755552150885898
2561.0,224.00269594012468,610.0,0.0,660.684424715901,0.9759362913444838
2562.0,224.006743309293,610.0,0.0,660.6474056281395,0.9763173676003778
2563.0,224.01189575218288,610.0,0.0,660.6103780394229,0.9766984438562718
2564.0,224.01763393157088,610.0,0.0,660.5733419559295,0.9770795201121658
2565.0,224.02340052020844,610.0,0.0,660.5362973838398,0.9774605963680598
2566.0,224.02863615122192,610.0,0.0,660.4992443293341,0.9778416726239538
2567.0,224.0328155455252,610.0,0.0,660.4621827985939,0.9782227488798478
2568.0,224.03548148094336,610.0,0.0,660.4251127978023,0.9786038251357418
2569.0,224.03627439572,610.0,0.0,660.3880343331431,0.9789849013916359
2570.0,224.03495569316476,610.0,0.0,660.3509474108006,0.9793659776475299
2571.0,224.03142321871704,610.0,0.0,660.3138520369608,0.9797470539034239
2572.0,224.0257178901325,610.0,0.0,660.276748217811,0.9801281301593179
2573.0,224.01802104195224,610.0,0.0,660.2396359595374,0.9805092064152119
2574.0,224.00864265707446,610.0,0.0,660.2025152683296,0.9808902826711059
2575.0,223.99800125854156,610.0,0.0,660.1653861503771,0.9812713589269999
2576.0,223.98659678178063,610.0,0.0,660.1282486118702,0.9816524351828939
2577.0,223.97497820395586,610.0,0.0,660.0911026590006,0.9820335114387879
2578.0,223.9637080425079,610.0,0.0,660.0539482979607,0.9824145876946819
2579.0,223.95332602848885,610.0,0.0,660.0167855349442,0.9827956639505759
2580.0,223.94431430162544,610.0,0.0,659.9796143761454,0.98317674020647
2581.0,223.9370663635042,610.0,0.0,659.9424348277593,0.983557816462364
2582.0,223.93186177308945,610.0,0.0,659.9052468959832,0.983938892718258
2583.0,223.92884819362203,610.0,0.0,659.8680505870134,0.984319968974152
2584.0,223.9280319270972,610.0,0.0,659.8308459070494,0.984701045230046
2585.0,223.92927753202508,610.0,0.0,659.7936328622892,0.98508212148594
