time_hours,temperature_k,pressure_pa,ice_mass_kg,solar_flux_wm2,orbital_angle_rad
735.0,221.70489530526459,697.6674889625336,1598362346215311.8,708.5055368419572,0.2800910480820565
736.0,217.5380620098497,697.7892856106639,1593636443040852.8,708.4927344095032,0.28047212433795043
737.0,213.66781021815174,697.9110824719652,1588910531595020.5,708.4799151456517,0.2808532005938444
738.0,210.0590650779126,698.0328795194198,1584184612926144.2,708.4670790527246,0.28123427684973834
739.0,206.6823924413918,698.1546767260112,1579458688082510.0,708.4542261330462,0.2816153531056323
740.0,203.51287373689306,698.2764740647239,1574732758112360.0,708.4413563889443,0.28199642936152625
741.0,200.5292449289312,698.3982715085435,1570006824063893.2,708.4284698227493,0.2823775056174202
742.0,197.71322905404992,698.520069030457,1565280886985264.0,708.4155664367945,0.28275858187331415
743.0,195.0490127393688,698.6418666034522,1560554947924582.5,708.402646233417,0.2831396581292081
744.0,192.5228312516795,698.7636642005182,1555829007929914.2,708.3897092149559,0.28352073438510206
745.0,190.12263635493224,698.8854617946453,1551103068049279.5,708.3767553837538,0.283901810640996
746.0,187.8378280586379,699.0072593588249,1546377129330653.8,708.3637847421561,0.28428288689688996
747.0,186.7951669143056,699.1290568660496,1541651192821966.5,708.3507972925119,0.2846639631527839
748.0,189.48048574878632,699.2508542893133,1536925259571101.8,708.3377930371721,0.28504503940867787
749.0,195.20921337290744,699.372651601611,1532199330625897.2,708.3247719784912,0.2854261156645718
750.0,203.09727758799409,699.4944487759387,1527473407034144.5,708.3117341188272,0.2858071919204658
751.0,212.11272848173388,699.6162457852939,1522747489843588.0,708.2986794605404,0.28618826817635973
752.0,221.15406452196456,699.7380426026751,1518021580101925.5,708.2856080059939,0.2865693444322537
753.0,229.1465444789814,699.8598392010822,1513295678856807.2,708.2725197575548,0.28695042068814763
754.0,235.1401360631333,699.9816355535162,1508569787155836.5,708.2594147175926,0.2873314969440416
755.0,238.3884330563284,700.1034316329793,1503843906046568.0,708.2462928884792,0.28771257319993554
756.0,238.3921813656022,700.2252274124751,1499118036576508.8,708.2331542725905,0.2880936494558295
757.0,234.9036105307553,700.3470228650082,1494392179793117.5,708.2199988723042,0.28847472571172345
758.0,229.6889756735906,700.4688179635847,1489666336743804.0,708.2068266900029,0.2888558019676174
759.0,224.90856272375513,700.5906126812118,1484940508475929.0,708.1936377280705,0.28923687822351135
760.0,220.5028039014104,700.7124069908982,1480214696036804.0,708.1804319888943,0.2896179544794053
761.0,216.42315891023782,700.8342008656537,1475488900473691.2,708.1672094748649,0.28999903073529926
762.0,212.6296002862822,700.9559942784892,1470763122833803.0,708.1539701883758,0.2903801069911932
763.0,209.08876931473665,701.0777872024173,1466037364164301.0,708.1407141318226,0.29076118324708716
764.0,205.7726002561455,701.1995796104516,1461311625512297.2,708.127441307606,0.2911422595029811
765.0,202.65727805827603,701.321371475607,1456585907924852.5,708.1141517181271,0.29152333575887507
766.0,199.72243772394646,701.4431627708999,1451860212448977.0,708.1008453657919,0.291904412014769
767.0,196.95054156696784,701.564953469348,1447134540131629.2,708.087522253009,0.292285488270663
768.0,194.32638929454936,701.6867435439701,1442408892019716.5,708.0741823821887,0.2926665645265569
769.0,191.8367285643482,701.8085329677866,1437683269160094.0,708.0608257557462,0.2930476407824509
770.0,189.4699424510512,701.9303217138191,1432957672599565.0,708.0474523760986,0.29342871703834483
771.0,187.21579642886567,702.0521097550907,1428232103384880.5,708.0340622456655,0.2938097932942388
772.0,187.49338721289453,702.1738970646256,1423506562562738.2,708.0206553668713,0.29419086955013274
773.0,191.28878085769367,702.2956836154497,1418781051179783.5,708.0072317421411,0.2945719458060267
774.0,197.84561782859862,702.4174693805899,1414055570282608.0,707.9937913739049,0.29495302206192064
775.0,206.22260229954594,702.5392543330747,1409330120917750.2,707.9803342645943,0.2953340983178146
776.0,215.35473439500268,702.661038445934,1404604704131694.5,707.9668604166447,0.29571517457370855
777.0,224.13906105997825,702.782821692199,1399879320970871.0,707.9533698324942,0.2960962508296025
778.0,231.5336384391477,702.9046040449025,1395153972481655.8,707.9398625145841,0.29647732708549646
779.0,236.6511957708128,703.0263854770784,1390428659710369.8,707.9263384653581,0.2968584033413904
780.0,238.8272211192655,703.1481659617622,1385703383703279.5,707.9127976872636,0.29723947959728436
781.0,237.64974521439936,703.2699454719908,1380978145506595.8,707.8992401827508,0.2976205558531783
782.0,232.95204405708554,703.3917239808026,1376252946166474.0,707.8856659542718,0.29800163210907227
783.0,227.90309307650404,703.5135014612373,1371527786729013.8,707.8720750042834,0.2983827083649662
784.0,223.26522306118895,703.6352778863362,1366802668240258.2,707.8584673352443,0.2987637846208602
785.0,218.9832224842881,703.7570532291419,1362077591746194.8,707.8448429496167,0.2991448608767541
786.0,215.0118982609601,703.8788274626986,1357352558292753.5,707.831201849865,0.2995259371326481
787.0,211.31383415093134,704.0006005600519,1352627568925807.8,707.8175440384575,0.29990701338854203
788.0,207.85773622455352,704.1223724942488,1347902624691173.8,707.8038695178649,0.300288089644436
789.0,204.61719134007754,704.2441432383379,1343177726634609.8,707.7901782905609,0.30066916590032994
790.0,201.56972166493526,704.3659127653692,1338452875801816.5,707.7764703590226,0.3010502421562239
791.0,198.69605499198562,704.4876810483944,1333728073238436.8,707.7627457257297,0.30143131841211784
792.0,195.97955475805244,704.6094480604664,1329003319990054.5,707.7490043931641,0.3018123946680118
793.0,193.4057698905185,704.73121377464,1324278617102195.0,707.7352463638127,0.30219347092390575
794.0,190.96207569910436,704.852978163971,1319553965620325.0,707.721471640163,0.3025745471797997
795.0,188.63738474333275,704.9747412015172,1314829366589851.5,707.7076802247078,0.30295562343569366
796.0,186.42191205326853,705.0965028603378,1310104821056122.5,707.6938721199408,0.3033366996915876
797.0,187.98592092209492,705.2182631134933,1305380330064425.5,707.6800473283598,0.30371777594748156
798.0,192.83219428296576,705.340021934046,1300655894659988.2,707.6662058524659,0.3040988522033755
799.0,200.13768064760004,705.4617792950598,1295931515887978.2,707.6523476947614,0.30447992845926947
800.0,208.9118479615536,705.5835351696,1291207194793502.0,707.6384728577538,0.3048610047151634
801.0,218.06694820877743,705.7052895307336,1286482932421605.2,707.624581343952,0.3052420809710574
